p_val	avg_diff	pct.1	pct.2	cluster	gene
Laptm5	1.8242432943887e-55	1.91982606718275	0.75	0.029	InnateLymphoid	Laptm5
Selplg	4.32455364300343e-55	1.71816320414813	0.562	0.007	InnateLymphoid	Selplg
Skap1	5.85666370650663e-55	1.41232528234374	0.516	0.003	InnateLymphoid	Skap1
Ptpn18	3.94266075514304e-54	1.82661354916647	0.703	0.025	InnateLymphoid	Ptpn18
Coro1a	5.2009772763932e-54	1.70695575036507	0.562	0.008	InnateLymphoid	Coro1a
Arhgdib	9.44279331454966e-54	1.81099190409481	0.922	0.223	InnateLymphoid	Arhgdib
Gimap6	1.07047211496224e-53	1.84561371553087	0.656	0.017	InnateLymphoid	Gimap6
Slfn2	4.40860223615648e-52	1.96945652661141	0.625	0.018	InnateLymphoid	Slfn2
Ms4a6b	7.12221060322404e-50	2.05231152748237	0.609	0.021	InnateLymphoid	Ms4a6b
Rgs1	1.76283992581447e-48	1.82595245853558	0.422	0.001	InnateLymphoid	Rgs1
Gimap7	1.85771602796053e-47	1.33388410868233	0.375	0	InnateLymphoid	Gimap7
Cxcr3	1.89090468818903e-47	1.30819267809524	0.422	0.001	InnateLymphoid	Cxcr3
Ikzf1	1.25391632607756e-46	1.18104671068697	0.453	0.004	InnateLymphoid	Ikzf1
Mir142hg	1.55624823844903e-46	1.54657421559238	0.438	0.004	InnateLymphoid	Mir142hg
Rps27	3.51203581954512e-45	1.32563076621929	0.984	0.737	InnateLymphoid	Rps27
Gmfg	1.63400092623968e-44	1.58742057155255	0.578	0.018	InnateLymphoid	Gmfg
Bcl11b	2.24619065419529e-44	1.19841148694345	0.406	0.002	InnateLymphoid	Bcl11b
Dusp2	3.08156069987937e-44	1.71501545759451	0.438	0.004	InnateLymphoid	Dusp2
Srgn	5.46145487624132e-44	1.8085059494823	0.797	0.1	InnateLymphoid	Srgn
H2-Q6	2.02337832430018e-43	1.53677623768749	0.5	0.009	InnateLymphoid	H2-Q6
Cd37	2.63927911559056e-43	1.56985365229333	0.562	0.018	InnateLymphoid	Cd37
Gimap1	1.23771955406901e-42	1.52353939140314	0.469	0.008	InnateLymphoid	Gimap1
Dock10	6.98385607508519e-42	1.42387839904999	0.453	0.007	InnateLymphoid	Dock10
Gm8995	1.35997945774862e-41	1.80225452062469	0.562	0.022	InnateLymphoid	Gm8995
Il18r1	1.00883484092749e-40	1.48966716033464	0.359	0.001	InnateLymphoid	Il18r1
Shisa5	2.37911564869768e-40	1.66842047356787	0.719	0.183	InnateLymphoid	Shisa5
Spn	3.34816033111023e-40	1.04779292483423	0.344	0.002	InnateLymphoid	Spn
Pkp3	6.58017485478168e-40	1.05475666256857	0.359	0.001	InnateLymphoid	Pkp3
Cd8b1	7.31937326395563e-40	1.86471766965263	0.344	0.002	InnateLymphoid	Cd8b1
Crip1	1.04173304304417e-39	1.68762109383699	0.922	0.27	InnateLymphoid	Crip1
Il18rap	2.57047042980039e-39	1.12663026191012	0.312	0	InnateLymphoid	Il18rap
Tbc1d10c	2.84701270117385e-39	1.30383216762682	0.484	0.011	InnateLymphoid	Tbc1d10c
Rps29	4.91578390652606e-39	1.10060993681171	1	0.752	InnateLymphoid	Rps29
Cd48	8.37871448667491e-39	1.55286403074561	0.453	0.012	InnateLymphoid	Cd48
Itga4	1.77657233158604e-38	1.2057973171752	0.438	0.008	InnateLymphoid	Itga4
Cd8a	7.13893094510746e-38	1.61110363840768	0.312	0.001	InnateLymphoid	Cd8a
Ltb	5.41930472642271e-37	1.22463220084743	0.344	0.002	InnateLymphoid	Ltb
Ptpn22	2.78396531818986e-36	1.26536033166098	0.359	0.002	InnateLymphoid	Ptpn22
Rps15a	3.26063235042983e-36	1.18765929532068	0.984	0.683	InnateLymphoid	Rps15a
Arl4c	3.56419995595473e-36	1.4159017063382	0.516	0.022	InnateLymphoid	Arl4c
Gimap9	4.06268816843166e-36	1.32918462940171	0.438	0.008	InnateLymphoid	Gimap9
Lsp1	4.25778561618635e-36	1.41087861415025	0.688	0.071	InnateLymphoid	Lsp1
Fau	4.4180468929187e-36	1.15395727018198	0.984	0.68	InnateLymphoid	Fau
Cish	5.29516735958048e-36	1.42407050890914	0.422	0.009	InnateLymphoid	Cish
Rps11	1.00362804183549e-35	1.23466549005787	0.953	0.577	InnateLymphoid	Rps11
Ikzf3	1.65806516317636e-35	1.15404947726979	0.312	0.001	InnateLymphoid	Ikzf3
Xcl1	2.12853840943715e-35	1.82184481532644	0.281	0.001	InnateLymphoid	Xcl1
Rps16	2.18083368825899e-35	1.19646546095117	0.938	0.618	InnateLymphoid	Rps16
Rpsa	1.29020111805328e-34	1.14232467549433	0.953	0.656	InnateLymphoid	Rpsa
Traf3ip3	6.13493758142466e-34	0.996909799734516	0.312	0.001	InnateLymphoid	Traf3ip3
Il7r	1.73672029458674e-33	1.11507831148424	0.281	0.001	InnateLymphoid	Il7r
Inpp4b	3.00650894762039e-33	1.174010521973	0.406	0.008	InnateLymphoid	Inpp4b
Ctsw	3.31988839580608e-33	1.24639805812062	0.297	0.001	InnateLymphoid	Ctsw
Cd5	3.83687958915244e-33	0.997580404770904	0.281	0	InnateLymphoid	Cd5
Cd6	4.51644693115522e-33	0.99176353558611	0.266	0	InnateLymphoid	Cd6
Rpl29	6.78210990329329e-33	1.33389268267384	0.859	0.273	InnateLymphoid	Rpl29
Cd27	7.33722911957041e-33	1.12036291247765	0.312	0.002	InnateLymphoid	Cd27
Klrk1	1.15750206288659e-32	1.14093117284001	0.297	0.001	InnateLymphoid	Klrk1
H2-Q4	1.38204141157757e-32	1.36510969918614	0.5	0.025	InnateLymphoid	H2-Q4
Rinl	1.6351703556994e-32	1.2189167761595	0.344	0.006	InnateLymphoid	Rinl
Epsti1	3.01332685199481e-32	1.30335536405322	0.438	0.014	InnateLymphoid	Epsti1
Btg1	3.46690319228507e-32	1.59134637413882	0.734	0.158	InnateLymphoid	Btg1
Grap	6.75378958081988e-32	1.2145573797437	0.438	0.013	InnateLymphoid	Grap
Apbb1ip	1.85786058101786e-31	1.25583603960758	0.469	0.019	InnateLymphoid	Apbb1ip
Slfn1	1.87024983109992e-31	1.01655301165719	0.266	0	InnateLymphoid	Slfn1
Gm1966	2.05847872609568e-31	1.16538017397425	0.406	0.011	InnateLymphoid	Gm1966
Il2rb	3.0031133189581e-31	1.0455109882556	0.281	0.001	InnateLymphoid	Il2rb
Stk17b	3.40303168520224e-31	1.47400285820097	0.5	0.037	InnateLymphoid	Stk17b
Clec2i	3.51237963728012e-31	0.969926118829272	0.312	0.002	InnateLymphoid	Clec2i
Gm19585	4.66876907923425e-31	1.03483329485628	0.25	0	InnateLymphoid	Gm19585
Lcp2	4.8704630824683e-31	1.16648857884294	0.422	0.013	InnateLymphoid	Lcp2
Actr3	5.28591328265405e-31	1.38060214362545	0.734	0.175	InnateLymphoid	Actr3
Ccnd2	8.03742241973996e-31	1.45837567506381	0.859	0.258	InnateLymphoid	Ccnd2
Sla	1.08399636754452e-30	1.01764456115821	0.328	0.005	InnateLymphoid	Sla
Rps24	1.27125944645571e-30	1.01431732971991	0.984	0.771	InnateLymphoid	Rps24
Anxa6	1.82841220867739e-30	1.30999879009752	0.609	0.073	InnateLymphoid	Anxa6
Rasal3	2.09921668552067e-30	0.940185944478776	0.297	0.002	InnateLymphoid	Rasal3
Amica1	3.25886116789054e-30	1.25280446586787	0.312	0.003	InnateLymphoid	Amica1
S1pr4	3.52149487771097e-30	0.846614681942774	0.266	0.001	InnateLymphoid	S1pr4
Cd53	5.20142766318673e-30	1.12310741190982	0.422	0.014	InnateLymphoid	Cd53
Cnn2	1.6070082095799e-29	1.43381220085605	0.719	0.147	InnateLymphoid	Cnn2
Arpc2	2.07809811577199e-29	1.07522581648261	0.938	0.598	InnateLymphoid	Arpc2
Id2	3.02503303590141e-29	1.43278009868754	0.859	0.255	InnateLymphoid	Id2
Rps23	3.31753200230199e-29	1.07431666488955	0.984	0.675	InnateLymphoid	Rps23
Tespa1	3.71694866964074e-29	0.832454536010398	0.25	0	InnateLymphoid	Tespa1
Rps13	3.79630825109539e-29	1.12142396560036	0.969	0.581	InnateLymphoid	Rps13
Arhgap9	4.47750492309546e-29	0.994431730576593	0.328	0.005	InnateLymphoid	Arhgap9
Ifng	4.71870419818087e-29	0.888755199307539	0.234	0	InnateLymphoid	Ifng
Cyth4	1.17973934999296e-28	1.12564405219757	0.406	0.017	InnateLymphoid	Cyth4
Lrrfip1	1.45440968763913e-28	1.39080385741301	0.5	0.038	InnateLymphoid	Lrrfip1
Tnfrsf18	3.96111189480588e-28	0.845123754658907	0.266	0.001	InnateLymphoid	Tnfrsf18
Ets1	5.30923850815205e-28	1.35607840439596	0.547	0.05	InnateLymphoid	Ets1
Rpl18a	6.42416358563879e-28	1.05946897590063	0.984	0.694	InnateLymphoid	Rpl18a
Sp100	1.14596532771382e-27	1.42552444008204	0.562	0.061	InnateLymphoid	Sp100
Gng2	1.23378081733526e-27	1.34988886420244	0.422	0.022	InnateLymphoid	Gng2
Itgb2	1.36222161226527e-27	1.27064470816254	0.328	0.008	InnateLymphoid	Itgb2
Sp110	2.5350922301884e-27	1.31613738195107	0.391	0.019	InnateLymphoid	Sp110
Tmem154	2.65337182044365e-27	0.91654401133683	0.266	0.002	InnateLymphoid	Tmem154
Gbp4	3.47057483890032e-27	1.35539461980853	0.406	0.017	InnateLymphoid	Gbp4
Itgal	5.75364801553091e-27	0.833536904958983	0.25	0.001	InnateLymphoid	Itgal
Rpl5	6.36313664184021e-27	1.05753658146723	0.984	0.575	InnateLymphoid	Rpl5
Gm4759	7.75345853354844e-27	1.26981086569295	0.344	0.007	InnateLymphoid	Gm4759
Rpl37a	1.16292256889355e-26	1.07077374614491	0.969	0.623	InnateLymphoid	Rpl37a
Rpl35	1.26741877422509e-26	1.14809336152987	0.922	0.508	InnateLymphoid	Rpl35
Icos	1.75713274816573e-26	1.2096130043814	0.312	0.007	InnateLymphoid	Icos
Rplp2	2.78933835470719e-26	0.948311503222963	0.984	0.75	InnateLymphoid	Rplp2
Rps3	2.97465969868807e-26	1.07688230378739	0.938	0.638	InnateLymphoid	Rps3
Ly6e	2.99463941144737e-26	1.2402769727522	0.891	0.319	InnateLymphoid	Ly6e
Ppp1r18	3.3367419441892e-26	1.27782332565548	0.516	0.055	InnateLymphoid	Ppp1r18
Cd7	6.46979791986418e-26	1.03095764122438	0.234	0.001	InnateLymphoid	Cd7
Sh2d2a	7.78322366138345e-26	0.925791225563946	0.234	0.001	InnateLymphoid	Sh2d2a
Rpl35a	1.13645445161284e-25	1.08443359531254	0.938	0.527	InnateLymphoid	Rpl35a
Klk8	1.2470804680919e-25	0.773954799720338	0.234	0.001	InnateLymphoid	Klk8
Hmgb2	1.29404861862162e-25	1.63214090191612	0.562	0.255	InnateLymphoid	Hmgb2
Rps6	1.47275405146887e-25	1.2067714805662	0.844	0.394	InnateLymphoid	Rps6
Eef1a1	2.39814771934313e-25	0.985094759613641	1	0.684	InnateLymphoid	Eef1a1
Grap2	2.48130166973041e-25	0.758279537066332	0.234	0.001	InnateLymphoid	Grap2
Cd44	2.69061788667907e-25	1.16750575550323	0.328	0.009	InnateLymphoid	Cd44
Rpl17	2.86881541659286e-25	1.01473902746584	0.984	0.646	InnateLymphoid	Rpl17
Lfng	2.97421415844777e-25	0.895392794720473	0.297	0.006	InnateLymphoid	Lfng
Cotl1	5.7702765924645e-25	1.40871152991415	0.594	0.091	InnateLymphoid	Cotl1
Samsn1	1.23328681861669e-24	0.921826717005867	0.234	0.002	InnateLymphoid	Samsn1
Gimap8	1.2553401462506e-24	1.20137705461524	0.297	0.006	InnateLymphoid	Gimap8
Fermt3	5.26093559651506e-24	1.1123502289617	0.344	0.012	InnateLymphoid	Fermt3
Ptpn7	7.94934210126048e-24	1.27665742957733	0.469	0.04	InnateLymphoid	Ptpn7
Rpl8	8.39221361763958e-24	0.946458335535231	0.969	0.672	InnateLymphoid	Rpl8
P2ry10	1.00479719331612e-23	1.14261423647276	0.219	0.001	InnateLymphoid	P2ry10
Cd69	1.27161929895927e-23	0.926159512329444	0.219	0.001	InnateLymphoid	Cd69
Gimap5	4.22758319554262e-23	1.04252783201563	0.328	0.01	InnateLymphoid	Gimap5
Zap70	4.28110390620491e-23	0.731309952948029	0.219	0.001	InnateLymphoid	Zap70
AI662270	4.78223734266713e-23	0.997907099788468	0.281	0.007	InnateLymphoid	AI662270
Runx3	5.86567734293503e-23	0.864322211697762	0.25	0.003	InnateLymphoid	Runx3
Dok2	8.16184484842266e-23	0.933514367857719	0.281	0.008	InnateLymphoid	Dok2
Myl6	8.17374638900504e-23	0.998408447395056	0.953	0.416	InnateLymphoid	Myl6
Bcl2a1b	1.03390889480655e-22	0.956804552930944	0.25	0.003	InnateLymphoid	Bcl2a1b
Slamf1	1.71098699104109e-22	0.87988161097043	0.203	0.001	InnateLymphoid	Slamf1
Rpl19	1.7377571183384e-22	0.895278363730776	0.984	0.659	InnateLymphoid	Rpl19
Dock2	1.86599273221399e-22	0.957812595847799	0.297	0.008	InnateLymphoid	Dock2
Pstpip1	2.34798043222792e-22	0.826690868343427	0.266	0.005	InnateLymphoid	Pstpip1
Cd84	2.36300096764885e-22	0.973700000903383	0.328	0.011	InnateLymphoid	Cd84
Osbpl3	2.40319672552419e-22	1.15724751588168	0.266	0.006	InnateLymphoid	Osbpl3
Gpr65	2.63668537047212e-22	1.04614150694142	0.328	0.012	InnateLymphoid	Gpr65
Rpl32	3.09770663869352e-22	0.927676666290473	0.984	0.747	InnateLymphoid	Rpl32
Rpl38	3.32348481010621e-22	0.935339422349197	0.953	0.646	InnateLymphoid	Rpl38
Ccr5	4.02861875738467e-22	1.04372314620002	0.312	0.01	InnateLymphoid	Ccr5
Rpl27	6.60705237219128e-22	0.995749539025093	0.938	0.591	InnateLymphoid	Rpl27
Tes	7.09132688198072e-22	1.08614099063794	0.391	0.032	InnateLymphoid	Tes
RP24-500I24.7	8.86433804783641e-22	0.76693906694281	0.234	0.002	InnateLymphoid	RP24-500I24.7
Cd28	9.68585107571573e-22	0.774193233998012	0.234	0.002	InnateLymphoid	Cd28
Hmha1	9.92801741604212e-22	1.03325618336426	0.359	0.022	InnateLymphoid	Hmha1
Dennd2d	1.0188253472731e-21	0.902039612686231	0.25	0.004	InnateLymphoid	Dennd2d
Atp8b4	1.44771133445009e-21	0.93371153863077	0.219	0.002	InnateLymphoid	Atp8b4
Bin2	2.23384989907521e-21	1.07365950983747	0.297	0.009	InnateLymphoid	Bin2
Xlr4b	2.5940922690793e-21	0.843343625252725	0.234	0.004	InnateLymphoid	Xlr4b
Rps15	4.1209438090366e-21	0.933602562677737	0.938	0.639	InnateLymphoid	Rps15
Rps18	4.902578276493e-21	0.928626997593723	0.984	0.641	InnateLymphoid	Rps18
Rpl34	8.00510087640031e-21	1.00176474028484	0.906	0.56	InnateLymphoid	Rpl34
Rpl4	8.67397052870875e-21	0.849595688880369	0.984	0.7	InnateLymphoid	Rpl4
Cd247	1.06176024029725e-20	0.798681006610319	0.266	0.006	InnateLymphoid	Cd247
Pyhin1	1.56021866702744e-20	1.00798402614799	0.312	0.014	InnateLymphoid	Pyhin1
Slamf7	1.86842762778435e-20	1.03344595750477	0.312	0.012	InnateLymphoid	Slamf7
Rpl23a	2.17184747642616e-20	0.898161738626605	0.969	0.67	InnateLymphoid	Rpl23a
Rps28	2.28958166908413e-20	0.888968476987341	0.969	0.633	InnateLymphoid	Rps28
Rps3a1	2.55793412266897e-20	1.00978758790231	0.938	0.604	InnateLymphoid	Rps3a1
Prex1	2.98431989462457e-20	1.03869888643752	0.281	0.014	InnateLymphoid	Prex1
Dennd1c	3.43996209233054e-20	0.815698574453668	0.219	0.003	InnateLymphoid	Dennd1c
Fxyd5	3.67294263190787e-20	1.17194277300238	0.688	0.184	InnateLymphoid	Fxyd5
Rpl11	5.50795252099156e-20	0.798074995814936	1	0.719	InnateLymphoid	Rpl11
Gm4955	6.08400814133899e-20	0.833406315607144	0.219	0.002	InnateLymphoid	Gm4955
Cfl1	6.69898392665037e-20	0.998460092121687	0.766	0.347	InnateLymphoid	Cfl1
Rps25	8.16027496959216e-20	0.783124566231903	0.953	0.681	InnateLymphoid	Rps25
Acap1	1.08887713259098e-19	0.851901158058917	0.281	0.009	InnateLymphoid	Acap1
Coro7	1.43640785380296e-19	0.928843373245362	0.359	0.024	InnateLymphoid	Coro7
Galnt6	2.00474149618697e-19	0.771246419821701	0.203	0.002	InnateLymphoid	Galnt6
Ms4a4c	3.18110751913552e-19	0.876236723784504	0.203	0.002	InnateLymphoid	Ms4a4c
Rpl12	3.4619014156136e-19	0.998538410794039	0.938	0.606	InnateLymphoid	Rpl12
Rps19	3.53893203547517e-19	0.9187362631423	0.969	0.711	InnateLymphoid	Rps19
Rps4x	4.73631286547909e-19	0.96071495272544	0.953	0.532	InnateLymphoid	Rps4x
Bcl2	4.85242043965342e-19	1.14706214357296	0.406	0.043	InnateLymphoid	Bcl2
Cyfip2	5.72021060592136e-19	0.737629452902938	0.219	0.003	InnateLymphoid	Cyfip2
Pydc3	6.91107021830814e-19	0.813851476020437	0.219	0.003	InnateLymphoid	Pydc3
Mbnl1	7.84984255886755e-19	0.99120441303626	0.828	0.446	InnateLymphoid	Mbnl1
Acp5	1.37299432117581e-18	0.805169622027621	0.234	0.005	InnateLymphoid	Acp5
Gbp8	1.49134081203613e-18	0.917851536697552	0.234	0.005	InnateLymphoid	Gbp8
Arrb2	2.46167559974863e-18	1.09976560948504	0.375	0.034	InnateLymphoid	Arrb2
Sytl2	2.60380057916161e-18	0.883355295755122	0.219	0.003	InnateLymphoid	Sytl2
Myo1f	3.15973381021443e-18	0.718905995281298	0.219	0.004	InnateLymphoid	Myo1f
Psmb9	5.38050087817954e-18	0.997165174940187	0.422	0.045	InnateLymphoid	Psmb9
Rps8	7.38124409512933e-18	0.753392931894102	1	0.751	InnateLymphoid	Rps8
Hcls1	9.09438269750566e-18	0.918930121227564	0.266	0.01	InnateLymphoid	Hcls1
Gm4149	9.31528975884912e-18	1.0902808189556	0.641	0.21	InnateLymphoid	Gm4149
Esyt1	1.10934736399837e-17	0.845451419283222	0.344	0.026	InnateLymphoid	Esyt1
Rpl21	1.26426374836034e-17	0.819913777138575	0.938	0.707	InnateLymphoid	Rpl21
Rbm3	2.35637175159287e-17	1.07000506007637	0.641	0.206	InnateLymphoid	Rbm3
S100a6	2.47209829028586e-17	0.868044708570758	0.938	0.413	InnateLymphoid	S100a6
Rab27a	3.37167915274902e-17	0.874789865723131	0.312	0.025	InnateLymphoid	Rab27a
Fli1	4.54660014975379e-17	0.897676204351382	0.344	0.027	InnateLymphoid	Fli1
Slfn8	5.09326548313408e-17	0.897531759763985	0.25	0.009	InnateLymphoid	Slfn8
Mndal	5.76994993088991e-17	1.24574869363249	0.625	0.166	InnateLymphoid	Mndal
Tpt1	6.66305386020015e-17	0.781709293642868	0.984	0.726	InnateLymphoid	Tpt1
Aim2	7.80298000618245e-17	0.857428171080985	0.234	0.007	InnateLymphoid	Aim2
Fyb	7.86555703854745e-17	1.19236549394151	0.594	0.143	InnateLymphoid	Fyb
Rps27a	8.91390017556999e-17	0.743799431457069	1	0.722	InnateLymphoid	Rps27a
Rpl37	1.05125254544339e-16	0.834433799027742	0.969	0.628	InnateLymphoid	Rpl37
Cd82	1.09651314376418e-16	0.985906534633769	0.328	0.036	InnateLymphoid	Cd82
Zbp1	1.29988968268444e-16	0.729932833432606	0.234	0.007	InnateLymphoid	Zbp1
Rpl27a	1.32301853809323e-16	0.923626334699681	0.828	0.519	InnateLymphoid	Rpl27a
Rpl18	1.95445979889133e-16	0.831494649707751	0.922	0.546	InnateLymphoid	Rpl18
Msn	2.15664993206176e-16	1.09153837057681	0.656	0.192	InnateLymphoid	Msn
Rps7	2.9873372554764e-16	0.879546345661749	0.922	0.62	InnateLymphoid	Rps7
Rps10	4.20833031065473e-16	0.85015879871065	0.953	0.625	InnateLymphoid	Rps10
Adgre5	4.85831590019433e-16	0.842013626539937	0.328	0.03	InnateLymphoid	Adgre5
Wipf1	6.28444055200072e-16	1.0789263594775	0.422	0.073	InnateLymphoid	Wipf1
Tuba4a	7.15238938754834e-16	0.937138903023613	0.406	0.059	InnateLymphoid	Tuba4a
Nbeal2	9.4841552755513e-16	0.789821596498119	0.234	0.008	InnateLymphoid	Nbeal2
H2-T23	1.50765427349838e-15	1.15304263661655	0.5	0.133	InnateLymphoid	H2-T23
Arpc5	1.66770281872163e-15	0.977312204889298	0.812	0.383	InnateLymphoid	Arpc5
Sh3kbp1	3.61244679915349e-15	1.0770831571797	0.484	0.091	InnateLymphoid	Sh3kbp1
Coro2a	4.01823865243344e-15	1.09891648969398	0.422	0.076	InnateLymphoid	Coro2a
Gm9843	4.46036715416779e-15	1.04317472314205	0.609	0.237	InnateLymphoid	Gm9843
Rps9	4.93661924313559e-15	0.718934943311886	0.969	0.707	InnateLymphoid	Rps9
Gnb2l1	5.07220402060745e-15	0.797506446175304	0.922	0.607	InnateLymphoid	Gnb2l1
Socs2	6.29577965777031e-15	1.13234032410553	0.375	0.053	InnateLymphoid	Socs2
Limd2	6.739836952635e-15	1.1159094506161	0.5	0.104	InnateLymphoid	Limd2
Tln1	7.53691243945622e-15	1.06552086196396	0.641	0.261	InnateLymphoid	Tln1
Tnfaip8	7.55035081584172e-15	1.09196064976236	0.422	0.075	InnateLymphoid	Tnfaip8
Flt3l	7.88054011011529e-15	0.844858879149191	0.25	0.015	InnateLymphoid	Flt3l
Rps2	1.18777613576347e-14	0.816769991049302	0.906	0.633	InnateLymphoid	Rps2
Ctla2a	1.46658363314774e-14	0.96995397954834	0.297	0.025	InnateLymphoid	Ctla2a
Actg1	1.70251201650354e-14	0.967385417543462	0.719	0.412	InnateLymphoid	Actg1
Pde7a	1.77225341127027e-14	0.793639858045546	0.25	0.018	InnateLymphoid	Pde7a
Glipr2	3.23961149656656e-14	0.766564308491596	0.312	0.029	InnateLymphoid	Glipr2
Sec11c	4.03077527781365e-14	1.06010317037772	0.5	0.119	InnateLymphoid	Sec11c
Def6	4.46117530366364e-14	0.734600981697406	0.234	0.014	InnateLymphoid	Def6
Sub1	4.76897345031187e-14	0.872681726053411	0.828	0.418	InnateLymphoid	Sub1
Casp1	4.87008900577618e-14	0.889908916432319	0.266	0.02	InnateLymphoid	Casp1
Leprotl1	4.9249344910383e-14	0.929877021350415	0.547	0.15	InnateLymphoid	Leprotl1
Ppia	5.41108018367525e-14	0.814579794335376	0.875	0.575	InnateLymphoid	Ppia
Fam107b	5.60355082364035e-14	0.983635686223148	0.375	0.051	InnateLymphoid	Fam107b
Hnrnpa3	5.79141088611132e-14	0.883425761181571	0.797	0.497	InnateLymphoid	Hnrnpa3
Rpl30	8.23774473000098e-14	0.785156110409376	0.938	0.617	InnateLymphoid	Rpl30
Rps13-ps2	8.33200565459427e-14	0.943473611914786	0.469	0.097	InnateLymphoid	Rps13-ps2
Rpl26	1.0266297882675e-13	0.746387741418845	0.953	0.647	InnateLymphoid	Rpl26
Lpar6	1.26458830026365e-13	1.1008411509444	0.359	0.061	InnateLymphoid	Lpar6
Rpl9	1.79359164444049e-13	0.763999593378481	0.922	0.641	InnateLymphoid	Rpl9
Cyba	1.83034713123036e-13	0.821062459683809	0.75	0.285	InnateLymphoid	Cyba
Rpl31	2.38962664804756e-13	0.763963060789828	0.922	0.646	InnateLymphoid	Rpl31
Rpl15	2.50242179050723e-13	0.901471657127719	0.766	0.35	InnateLymphoid	Rpl15
Rpl39	2.79333657959256e-13	0.820373635617732	0.906	0.551	InnateLymphoid	Rpl39
Fnbp1	3.01866716066882e-13	0.862759572670839	0.625	0.19	InnateLymphoid	Fnbp1
Tap1	3.20402275627829e-13	0.766812367989336	0.281	0.027	InnateLymphoid	Tap1
Rps5	4.10859948439507e-13	0.780950763928826	0.906	0.67	InnateLymphoid	Rps5
