clusters	InnateLymphoid	Macrophage	Endothelial	Myoid	Leydig	Sertoli	Unknown
1110020A21Rik	0	0.048083104	0.015471635	0.078351046	0.021771711	0.098786206	0.047693276
1110025L11Rik	0.051919803	0	0	0	0	0	0
1110025M09Rik	0	0.062393384	0.059740775	0	0.020431128	0.041973768	0.028961861
1110028F18Rik	0	0	0	0	0	0	0.004935234
1110032A03Rik	0.132837156	0.358512067	0.588952364	0.464617154	0.597532322	0.924256265	0.651524513
1110034G24Rik	0.052319753	0.075243945	0.168861705	0	0.095746724	0.05607916	0.080746797
1110035H17Rik	0	0.041270998	0	0.068326049	0.016078108	0.024249061	0.035185402
1110037F02Rik	0.37465428	0.217902423	0.398751571	0	0.321422544	0.47080185	0.370903244
1110038B12Rik	0.032813927	0.218358451	0.179050958	0	0.273030751	0.190184095	0.380905775
1110038F14Rik	0.601120905	0.488694979	0.530794549	0.429312593	0.314659445	0.435753662	0.495739202
1110046J04Rik	0	0.017742864	0.042258294	0.134818703	0.064109053	0.150517294	0.088319646
1110051M20Rik	0.049880677	0.176695574	0.092069861	0.109240687	0.310493232	0.171711581	0.229390716
1110059E24Rik	0.349929492	0.168630575	0.445653388	0.970277516	0.232535461	0.212371272	0.287418981
1110059G10Rik	0.352785707	0.484716509	0.433420691	0.856471761	0.280036221	0.417940384	0.489702153
1110065P20Rik	0.18382125	0.321584361	0.248467576	0.528204377	0.673023278	0.891176526	0.38109188
1190002F15Rik	0.463074081	0.096305594	0.152916234	0.111267756	0.023301749	0.012759354	0.020527084
1190002N15Rik	0.328784711	0.108851186	0.082297901	0	0.114994075	0.070950183	0.046998243
1190003K10Rik	0	0	0	0	0	0.005124884	0
1190005I06Rik	0	0.004969107	0.044026972	0	0.031941603	0.061802988	0.02918453
1190007I07Rik	0.049880677	0.17085097	0.266468085	0	0.289823113	0.086384945	0.136414588
1200007C13Rik	0	0.014556352	0.051838504	0.18673971	0.0438866	0.001954633	0.020392886
1200014J11Rik	0.723195059	0.347444224	0.521471295	0.209080144	0.439120296	0.332078168	0.411222772
1300002E11Rik	0.294681357	0.228052687	0.444121836	0.430492492	0.416967918	0.151412024	0.258043424
1300017J02Rik	0	0	0.019825792	0	0.006730298	0.009813531	0.007885618
1500002C15Rik	0	0.051607075	0	0	0.060883464	0.070650487	0.020584389
1500002F19Rik	0	0	0.093759052	0	0.021703782	0.011128064	0.021713144
1500004A13Rik	0.118950054	0	0.009615662	0	0.031702997	0.023719851	0.022114329
1500009C09Rik	0	0	0	0	0	0.001792213	0
1500009L16Rik	0.092359208	0.477977451	0.098305843	0.628147759	1.137304379	0.815418431	0.934234932
1500011B03Rik	0.178689886	0.205237011	0.394197563	0.328833108	0.552847019	0.96350623	0.210159466
1500011K16Rik	0.244856892	0.60828222	0.403523386	0.650267667	1.121992175	0.619270538	0.76752227
1500012F01Rik	0.597606898	0.946695258	0.873618119	0.511987952	0.474282058	0.573784039	1.187365818
1500015A07Rik	0.056440744	0.111163308	0.140483259	0.265668982	0.038258159	0.183203182	0.09181498
1500015L24Rik	0	0	0	0	0	0.010337297	0
1500015O10Rik	0	0	0	0	0	0	0.027837238
1500017E21Rik	0	0.011701952	0	0	0	0.016422229	0.000389642
1500026H17Rik	0	0.061722647	0	0	0.084083651	0.012234573	0.055135956
1500035N22Rik	0	0	0	0	0.001243304	0.007921146	0.003736726
1520401A03Rik	0	0	0	0	0.006932475	0.007269094	0.001843968
1600002D24Rik	0	0	0.076155347	0	0	0	0
1600002H07Rik	0	0.026316456	0.031820564	0.111267756	0.149954305	0.051610413	0.074701423
1600002K03Rik	0.104391737	0.072510829	0.039997173	0	0.14645733	0.38038578	0.099684718
1600010M07Rik	0	0.086010892	0	0	0.019037388	0	0.001339276
1600012H06Rik	0.204802854	0.443387991	0.234487116	0.213558561	0.224664812	0.263137882	0.224432062
1600014C10Rik	0.19935647	0.048686101	0.138646018	0	0.252752287	0.064819489	0.222243881
1600014C23Rik	0	0	0	0	0	0.009987111	0.005371707
1600014K23Rik	0	0	0	0.068326049	0.019611856	0.054390526	0.017890977
1600017P15Rik	0	0	0	0	0	0.032217689	0.002300626
1600020E01Rik	0.397107422	0.147724877	0.330358	0.137363455	0.208922486	0.282859788	0.202202578
1600025M17Rik	0	0	0.07543518	0	0.003050516	0.022472253	0.007134557
1600029O15Rik	0	0	0	0	0.003021861	0.121917184	0.024627924
1700001C02Rik	0.064327616	0.14562824	0.151884394	0.109240687	0.059846771	0.412162812	0.118199564
1700001C19Rik	0.254486213	0.521721385	0.290178498	0.144811652	0.117534789	0.959643161	0.229275979
1700001D01Rik	0	0	0	0	0	0.004075784	0
1700001F09Rik	0	0.051143993	0.018722791	0	0.028515194	0.067365705	0.025351737
1700001G01Rik	0	0.134542695	0	0	0.022989467	0.141637875	0.067210444
1700001G11Rik	0.067662836	0.078372843	0.067946885	0	0.141170826	0.166551318	0.08080291
1700001G17Rik	0	0	0	0	0.006655749	0.032587094	0.024873926
1700001J03Rik	0.076776596	0.309855712	0.053450133	0	0.07825241	0.291568315	0.151489175
1700001J04Rik	0	0	0	0	0	0.011987233	0.010275936
1700001J11Rik	0.088114913	0.045975567	0.108746959	0.346850345	0.074796874	0.307101328	0.113285836
1700001K19Rik	0.255923276	0.18508812	0.140837967	0.237587928	0.086398455	0.869106119	0.134855811
1700001L05Rik	0.070790941	0.182344363	0.169764195	0	0.147608574	0.451523578	0.122709299
1700001L19Rik	0.117270347	0.164550735	0.161712684	0	0.100294757	0.294782453	0.160197502
1700001O22Rik	0.187222781	0.387289478	0.190376088	0.403247146	0.026081781	0.933299866	0.177861715
1700001P01Rik	0	0.105917659	0.032898245	0.201691141	0.040211868	0.235114396	0.100977215
1700003C15Rik	0	0	0	0	0.012000163	0.005143489	0.003423041
1700003D09Rik	0	0	0	0	0	0.003808406	0
1700003E16Rik	0.258056049	0.377643235	0.143048721	0.068326049	0.040468841	0.659846686	0.220638758
1700003E24Rik	0	0.032958578	0.025467332	0	0.002132537	0.226892807	0.021075257
1700003F12Rik	0.376887503	0.418321339	0.418026476	0.170708674	0.179265919	1.271696178	0.282465098
1700003G13Rik	0	0	0	0	0	0.039579211	0.006950086
1700003G18Rik	0	0.020526551	0.096596902	0	0.01331781	0.016399028	0.007925947
1700003H04Rik	0.234913768	0.21489545	0.137101766	0.527436109	0.094288497	0.34495097	0.142175339
1700003I22Rik	0.055775708	0.279846186	0.012108239	0.115687697	0.003050516	0.175968705	0.062986061
1700003L19Rik	0.037617651	0.031052706	0	0	0.00302847	0.03912055	0.008383406
1700003M02Rik	0.407001854	0.622258157	0.317367586	0.419341567	0.159011486	0.6856201	0.370223819
1700003M07Rik	0	0	0	0	0.008866375	0	0.006757635
1700003N22Rik	0	0	0	0	0.008886167	0.004751907	0.003218488
1700003P14Rik	0.19216654	0.222903114	0.058605886	0.177923886	0.080287957	0.328123718	0.124716992
1700006A11Rik	0	0.04330314	0	0	0.005225082	0.057860036	0.042372734
1700006E09Rik	0.245038276	0.141978487	0.082376033	0	0.034843901	0.362328606	0.100766435
1700006F04Rik	0	0	0.047235398	0	0.029008729	0.065613259	0.009043872
1700006H21Rik	0	0	0.053742896	0	0.003573417	0.007453908	0.012847025
1700006J14Rik	0.055775708	0.203566864	0.174565391	0.237301781	0.014378682	0.241013553	0.100822062
1700006P03Rik	0	0.01202468	0.015239505	0	0	0.050482684	0
1700007B14Rik	0.034162861	0.1275906	0.078486927	0.132280735	0.031859049	0.360016088	0.115033555
1700007E05Rik	0	0	0	0	0.006325268	0.007618041	0
1700007F19Rik	0	0	0.023603759	0	0	0.033108206	0.012229984
1700007G11Rik	0.100869232	0.357083759	0.029252286	0.218660832	0.014827212	0.23333191	0.105240637
1700007J10Rik	0	0	0	0	0	0.0124023	0
1700007K09Rik	0.104391737	0.082932987	0	0	0.015357204	0.170431604	0.087719703
1700007K13Rik	0	0.029387829	0	0.310109093	0.176878206	0.160674023	0.0879602
1700007L15Rik	0.037312193	0.085813445	0.02428084	0.184371069	0.074956527	0.189284356	0.044246369
1700007M16Rik	0	0	0	0	0	0.00058795	0
1700007P06Rik	0.157970969	0.231505514	0.049305502	0.1620614	0.080449981	0.194440538	0.023601457
1700008A23Rik	0	0	0	0	0	0.071369612	0.005650609
1700008F21Rik	0.188807764	0.015770656	0.206136938	0	0.093775946	0.506887549	0.189403064
1700008J07Rik	0	0.130886287	0	0	0.051956527	0.211580372	0.113274194
1700008K24Rik	0.260445942	0.542042678	0.293394301	0.560149886	0.146367466	0.973698733	0.382380265
1700008O03Rik	0	0.027430139	0	0	0.020981493	0.063479027	0.026143165
1700008P02Rik	0	0.04626269	0.053527633	0	0.001397422	0.203016457	0.01510132
1700009C05Rik	0	0.026826075	0.012108239	0.111267756	0.052471406	0.037668358	0.017048165
1700009J07Rik	0.063123582	0.086263409	0.085271158	0.185210064	0.032492623	0.348826246	0.054699406
1700009N14Rik	0.29324162	0.526659957	0.285735167	0.386613115	0.138452818	1.375758362	0.307472378
1700010B08Rik	0.212187224	0.265302976	0.092463073	0.241247802	0.088050012	0.275958488	0.127646325
1700010B13Rik	0	0.062131066	0	0	0.042571345	0.029254222	0.014970849
1700010D01Rik	0	0.183841765	0.069806481	0.281548977	0.059650938	0.524922497	0.075157471
1700010H22Rik	0.13803065	0.026686752	0	0.241247802	0	0.039505411	0.04069721
1700010I02Rik	0	0.006030414	0	0	0	0.040699289	0.025217229
1700010I14Rik	0.802669409	0.896285334	0.174697827	0.520454026	0.386504735	0.930125052	0.539929162
1700010J16Rik	0.079110118	0.031052706	0	0	0.03078838	0.073679386	0.017364714
1700010K23Rik	0.145539207	0.103138275	0.152283782	0	0.0359752	0.251539494	0.116962566
1700010K24Rik	0	0.0580826	0	0	0.004306053	0.011714648	0.015717275
1700010L04Rik	0	0	0	0	0	0.004818402	0.004969112
1700010N08Rik	0	0.018329933	0	0	0	0.005367031	0.011504707
1700011A15Rik	0.125657564	0.183920321	0	0.190010792	0.076248357	0.219201428	0.099599332
1700011B04Rik	0	0	0	0	0.01107382	0.016409689	0.005115602
1700011E24Rik	0.175169874	0.274745403	0.230845161	0	0.145431342	0.44038982	0.214558038
1700011H14Rik	0	0.062183446	0.033037426	0	0.019112695	0.28895498	0.057978051
1700011I03Rik	0	0.259751726	0.173242232	0	0.076203272	0.225539652	0.100424851
1700011L22Rik	0.218818327	0.325527088	0.174312137	0.170708674	0.131979984	0.438842447	0.157230592
1700011M02Rik	0	0.018711335	0.015471635	0.104268627	0.053067056	2.437989929	0.012463499
1700012A03Rik	0.294236652	0.38525924	0.131019753	0.177262046	0.085962587	1.125969656	0.157042091
1700012B07Rik	0.179168218	0.186216909	0.095256746	0.353127509	0.049787431	0.439827071	0.143372201
1700012B09Rik	0.104391737	0.3370636	0.174463927	0.185300451	0.079849858	0.325934799	0.17197399
1700012C14Rik	0	0	0	0.144473915	0.018678496	0.04316237	0.021726551
1700012E03Rik	0.059267473	0	0	0	0	0.012508369	0
1700012I11Rik	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0.009831941	0.012695398	0.01220057
1700012L04Rik	0	0.049134213	0	0.1620614	0.004881602	0.063445751	0.01673463
1700012P22Rik	0.122594296	0.057239048	0.0253842	0.228751608	0.036585792	0.073933812	0.024803546
1700013D24Rik	0.199743116	0.320189509	0.112572103	0	0.073245892	0.397077699	0.169217363
1700013F07Rik	0.427210799	0.198976926	0.14922823	0.281181063	0.120501721	0.549672472	0.20242973
1700013G24Rik	0.332450958	0.331852892	0.223161676	0.233233146	0.129295455	0.863366166	0.194963024
1700013H16Rik	0	0.090671813	0.115213931	0.109240687	0.020849129	0.126656642	0.047292089
1700013N06Rik	0	0	0	0	0.004654033	0.005866435	0.000728623
1700014D04Rik	0	0.138783273	0.064010854	0.068326049	0.010326165	0.098297308	0.023664875
1700015E13Rik	0.266949648	0.522340175	0.121463262	0	0.133530559	0.398188356	0.193672992
1700015F17Rik	0.206227843	0.126099377	0.173253495	0.446417327	0.145924036	0.394117962	0.175179886
1700015G11Rik	0.587225583	0.422106057	0.217314146	0.359563159	0.14257853	1.148661909	0.272238847
1700015O11Rik	0	0	0	0	0	0.070995994	0.014627306
1700016A09Rik	0	0.084793664	0.025488437	0	0.029994485	0.151128119	0.032492591
1700016C15Rik	0	0.159993306	0.093770707	0.22445626	0.036463464	0.260521805	0.055520265
1700016D06Rik	0.182961381	0.206629424	0.305320332	0	0.045449052	0.270206267	0.104537005
1700016D08Rik	0	0	0	0	0	0.016863118	0.003504509
1700016G14Rik	0.133083142	0.125542798	0.094282266	0	0.004654033	0.176916595	0.104990203
1700016G22Rik	0	0.072585577	0.009898484	0.189876309	0.010326165	0.055465599	0.014958265
1700016H13Rik	0.276827122	0.443049745	0.141086757	0	0.123135501	0.944960022	0.214793122
1700016K19Rik	0.194127275	0.273847213	0.051694413	0.52565384	0.158794821	0.82491479	0.204046052
1700016L21Rik	0	0	0	0	0.01436571	0.029648492	0.00674652
1700016P03Rik	0	0	0.035303781	0	0	0.038399546	0.024046733
1700016P04Rik	0.177594398	0.154717053	0.234931126	0.320710543	0.063164728	0.880265055	0.190147811
1700017B05Rik	0.150896185	0.125558787	0.055988684	0	0.027482269	0.525639499	0.090783211
1700017D01Rik	0.204839156	0.352945877	0.133036698	0.278328646	0.124782658	0.507144675	0.158420559
1700017G19Rik	0	0.063797756	0.024302001	0	0.059965214	0.049667321	0.016422524
1700017I07Rik	0	0.016580911	0	0	0	0.019409059	0.003656895
1700017J07Rik	0	0.021222937	0.021455262	0	0.029027634	0.045708321	0.04013668
1700017N19Rik	0.34827207	0.127514617	0.12040252	0.207714392	0.019416315	0.475289146	0.137117049
1700018A04Rik	0.034162861	0	0	0	0.027040082	0.091153814	0.050176324
1700018A14Rik	0	0	0	0	0	0.008148337	0.003379057
1700018B08Rik	0.11275565	0.322307946	0.116319141	0	0.12131082	0.348215175	0.134608998
1700018B24Rik	0.127545111	0.324987123	0.131350156	0.177923886	0.159423783	0.462568254	0.212896227
1700018C11Rik	0.197074323	0.294334692	0.115509564	0.1620614	0.105768321	0.678005894	0.180656869
1700018F24Rik	0	0.238008342	0	0.129754022	0.034410781	0.118778061	0.056179366
1700018L02Rik	0	0.137135116	0.067916191	0.124750393	0.066573363	0.1917024	0.159505837
1700018M17Rik	0	0	0	0	0	0	0
1700019A02Rik	0.281108437	0.409981275	0.186605106	0	0.096396155	0.508186389	0.251609065
1700019B03Rik	0	0.021148071	0.025087801	0	0.033316177	0.084908489	0.016793338
1700019B21Rik	0	0.006683659	0	0.189302955	0.005700018	2.334204746	0.01359345
1700019D03Rik	0.563168095	0.394404003	0.270649358	0.552881855	0.12285248	0.934933123	0.26493079
1700019E08Rik	0	0	0	0	0	0	0.001120823
1700019G17Rik	0	0.006030414	0.071750372	0	0.247727369	0.085405741	0.011935515
1700019G24Rik	0	0.089534536	0.012097751	0	0.135144182	0.220934696	0.14081816
1700019L03Rik	0	0.108257273	0.107630402	0	0.03262619	0.120156685	0.058548018
1700019M22Rik	0.193051015	0.249940598	0.218783268	0.459031794	0.080446719	0.957540617	0.282567534
1700019N19Rik	0.386868438	0.316069082	0.125334445	0.446132323	0.104111115	0.807628724	0.274459048
1700019O17Rik	0	0.093871895	0.028994177	0	0.002912692	0.086191069	0.008744721
1700019P21Rik	0	0.048892377	0.074905777	0	0.009555387	0.096298729	0.025397585
1700020A23Rik	0.032813927	0.070739755	0.046242858	0	0.040056989	0.283862456	0.040986276
1700020D05Rik	0.263756432	0.34939297	0.165438782	0.617581555	0.1896018	0.43864348	0.307766502
1700020G17Rik	0.090216206	0.08692849	0.066221298	0	0	0.276544968	0.067967834
1700020I14Rik	1.290259502	0.907492063	1.408143005	1.361307809	0.797948954	0.938652246	0.676733191
1700020L24Rik	0	0.117848279	0.106629341	0	0.02300478	0.131907544	0.098315435
1700020M21Rik	0	0	0	0	0	0	0
1700020N01Rik	0.067197073	0.212688999	0.06258494	0	0.073518205	0.204675491	0.10162489
1700020N15Rik	0.049880677	0.006030414	0.028383018	0.109240687	0.016031694	0.208835105	0.042281778
1700020N18Rik	0	0.222016831	0.022944522	0.142155348	0	0.097663645	0.036850009
1700021A07Rik	0	0	0	0	0	0.00572111	0.001185577
1700021F05Rik	0.192287709	0.407096093	0.426547461	0.758817332	0.422048916	0.394122108	0.404762112
1700021F07Rik	0.182014982	0.278419539	0.067688181	0.342544128	0.0934014	0.572339688	0.179181165
1700021J08Rik	0	0.061853891	0	0	0.00302847	0.045660191	0.019418059
1700021K19Rik	0.078042707	0.425715093	0.233212997	0.335377125	0.099158956	0.327216743	0.194920413
1700021L23Rik	0	0	0	0	0	0.006469529	0.010784905
1700021N21Rik	0	0.028091537	0	0.1620614	0	0.086264681	0.031827515
1700021P04Rik	0	0	0	0	0	0.019587062	0
1700022A21Rik	0.059380124	0.133511603	0.070588641	0.068326049	0.057756538	0.417816989	0.109595502
1700022A22Rik	0.077964785	0.108183782	0	0	0.02534911	0.066502018	0.015114158
1700022E09Rik	0	0	0	0	0	0.014855035	0.002113538
1700022F17Rik	0	0.007065699	0.021003528	0	0	0.02883258	0.01504469
1700022H16Rik	0	0	0	0	0	0.003298821	0.001060539
1700022I11Rik	0	0.063862464	0.023474816	0.129754022	0.06627512	0.055162984	0.034577863
1700022N22Rik	0.095984005	0.0067476	0	0	0.022540839	0.01053974	0.014895846
1700023C21Rik	0	0.016580911	0	0	0	0.043991865	0.014747807
1700023E05Rik	0.076776596	0.289263432	0.080081054	0.109240687	0.00898714	0.300822601	0.057742863
1700023F02Rik	0.031798777	0.055287876	0.018685217	0.068326049	0.020614781	0.063286413	0.026435044
1700023F06Rik	0	0.043863715	0.060186531	0	0.047188288	0.190920774	0.077776359
1700023G09Rik	0	0.017113391	0.039997173	0	0.003526067	0.019466284	0.016931176
1700023H06Rik	0	0.111231952	0	0.241247802	0.030395687	0.04483335	0.026004621
1700024B05Rik	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0.005551819	0.003390871
1700024G13Rik	0.106311248	0.050371535	0	0	0.00302847	0.23822709	0.103023764
1700024J04Rik	0	0.031052706	0	0	0	0.041428232	0.015604826
1700024P04Rik	0.383125451	0.25102677	0.263926592	0	0.079559587	0.89993362	0.224515032
1700024P16Rik	0	0	0.065522039	0	0.379065579	1.002886556	0.012259833
1700025B11Rik	0	0.052204443	0.040244554	0	0	0.080714858	0.050126797
1700025C18Rik	0	0.036621937	0	0	0	0.035142262	0.009785001
1700025D23Rik	0	0.030319777	0	0	0.021737369	0.025710142	0.002851837
1700025F22Rik	0.138414913	0.23273208	0.185136528	0.104268627	0.036184491	0.230204585	0.09236633
1700025F24Rik	0	0.055205638	0.059707821	0	0	0.031252666	0.005767826
1700025G04Rik	0.078042707	0.243172722	0.350649116	0.197742791	0.167140401	1.05647848	0.689562085
1700025H01Rik	0	0.033534863	0.010183574	0	0.009738484	0.103914738	0.015795022
1700025K24Rik	0	0.018711335	0	0	0.002322588	0.015481882	0.017721905
1700025M24Rik	0	0.040273731	0.022944522	0.385771926	0.046384453	0.138814216	0.012575521
1700025N21Rik	0	0.048132254	0	0	0	0.026043182	0.002964675
1700025N23Rik	0.077964785	0.074043884	0.034511291	0	0	0.020973933	0.029007302
1700025O08Rik	0	0	0	0	0	0	0
1700026D08Rik	0.068943125	0.18247576	0.022944522	0	0.083923929	0.238911265	0.110392766
1700026D11Rik	0	0.009203431	0.065522039	0	0	0.106822103	0.052526034
1700026F02Rik	0	0.051994327	0	0	0.003983425	0.047654466	0.01352823
1700026J12Rik	0	0.061455025	0.036258581	0	0.026090538	0.072069679	0.036767397
1700026J14Rik	0	0	0	0	0	0.002220476	0.000918554
1700026L06Rik	0.323239175	0.30467748	0.290015646	0.914501027	0.122801335	0.823139834	0.21632542
1700027A07Rik	0	0	0	0	0	0.015356597	0.004069911
1700027A15Rik	0.780430905	0.986057043	0.584193583	0.109240687	0.298080704	1.843093613	0.565060685
1700027F09Rik	0	0	0	0	0.047137078	0.023446203	0.016554164
1700027H10Rik	0	0.033684559	0	0	0	0.007703859	0.000825733
1700027I24Rik	0	0	0.018068775	0.212935	0	0.057357903	0.01535142
1700028B04Rik	0	0	0	0	0	0.00266272	0.001174523
1700028D13Rik	0	0.027430139	0	0	0.002912692	0.084010135	0.044308276
1700028E10Rik	0.336547654	0.165949679	0.07066268	0	0.036904692	0.156586182	0.056032271
1700028I16Rik	0	0.038842135	0.030682241	0	0.023991265	0.086319737	0.034000083
1700028J19Rik	0.372923012	0.390650161	0.313939763	0	0.227590378	0.493277769	0.2443666
1700028K03Rik	0.048158452	0	0	0	0.013920699	0.056221476	0.010737731
1700028M03Rik	0	0	0	0.266594861	0	0.005620969	0.004533942
1700028N14Rik	0	0.009521342	0	0	0.00429733	0.019224913	0.00953646
1700028P14Rik	0.08049655	0.287781388	0.136888856	0.077223862	0.12241744	0.27461922	0.234194986
1700028P15Rik	0.023578435	0.01832293	0	0	0	0.01686342	0.01529095
1700029B22Rik	0	0.087693085	0.024112388	0	0.036956812	0.289225057	0.063236458
1700029E06Rik	0	0.005633294	0	0.068326049	0	0.015029524	0.021586346
1700029F12Rik	0.458302	0.488956259	0.221634226	0.667701992	0.183345743	0.752652434	0.289718477
1700029H14Rik	0.325755773	0.343061263	0.299820171	0.377971559	0.193970089	1.292889228	0.303388037
1700029I15Rik	0	0.238178922	0.029252286	0.068326049	0.087087525	0.23755418	0.096482998
1700029J03Rik	0	0	0	0	0	0.001526384	0
1700029J07Rik	0	0.059686014	0.059052997	0	0.045803281	0.236172597	0.271590941
1700029M03Rik	0	0.062121012	0	0	0.018755393	0.075397065	0.033651151
1700029M20Rik	0.066397239	0.067096303	0	0	0.031689117	0.225821284	0.082017703
1700029N11Rik	0.023578435	0.051994327	0	0	0.006871151	0.004759556	0.022257187
1700029P11Rik	0	0.135900354	0.215433652	0	0.087440117	0.203065906	0.107541455
1700030A11Rik	0	0	0	0	0	0.014561941	0
1700030C10Rik	0	0.08745522	0.063366056	0	0.039931732	0.089442651	0.018502194
1700030C12Rik	0.473210438	0.31698785	0.260637665	0.077223862	0.210747075	0.75451991	0.241835389
1700030C14Rik	0.049880677	0.066910762	0.08495271	0	0.046847851	0.144418517	0.042256871
1700030F04Rik	0	0.094565768	0.024461623	0.276799577	0.025253742	0.115535642	0.041607629
1700030I03Rik	0	0	0	0	0	0.009031911	0
1700030J22Rik	0.462618447	0.212108695	0.153120582	0.512843223	0.068578003	0.714012239	0.197611194
1700030K09Rik	0.034162861	0.140413702	0.102779561	0.189876309	0.074917123	0.219614932	0.135594878
1700030L20Rik	0	0	0	0	0.013704251	0.035286368	0.00194732
1700030M09Rik	0	0.092848891	0.027866037	0	0.017178657	0.040536022	0.01646412
1700030N03Rik	0.202398628	0.061299033	0	0.078351046	0.003021861	0.065858235	0.031443953
1700030O20Rik	0	0.005633294	0.119024844	0	0.003102825	0.068901229	0.020532959
1700031A10Rik	0	0	0	0	0	0.001940431	0
1700031F05Rik	0	0	0.015471635	0	0	0.095767853	0
1700031F10Rik	0	0.051031503	0.065578128	0	0.02423938	0.266401945	0.038922496
1700031L13Rik	0.165876451	0.243235183	0.09624195	0.246842112	0.010480078	0.170043747	0.116273653
1700031M16Rik	0.311542881	0.32606963	0.317831676	0.373675506	0.087862718	0.877059953	0.179225111
1700031P21Rik	0.172478702	0.33629828	0.188729455	0	0.044257475	0.378123393	0.090048916
1700034B16Rik	0	0	0	0	0	0	0.003924786
1700034E13Rik	0.239205783	0.353223374	0.179826611	0.239046888	0.025812518	0.960950424	0.200333392
1700034G24Rik	0	0.13297923	0	0	0.002909233	0.131102423	0.030414778
1700034H15Rik	0.11153069	0.020626603	0	0	0.019427656	0.168081725	0.019861506
1700034I23Rik	0.227739802	0.309900193	0.190823041	0.342170728	0.051217955	0.545505698	0.088465728
1700034J04Rik	0	0	0	0	0.005792591	0.002299921	0.005556471
1700034J05Rik	0.061604932	0.097041609	0.119212613	0	0.08638291	0.331692473	0.149975657
1700034K08Rik	0	0	0	0	0	0.019837679	0.006204947
1700034O15Rik	0.258145402	0.213035988	0.231131965	0.499632485	0.119546906	0.627637844	0.195351243
1700034P13Rik	0	0	0	0	0.003021861	0.014850483	0.011959382
1700036A12Rik	0	0	0	0	0	0.009862893	0.005638092
1700036G14Rik	0	0.03040046	0	0	0	0.058974394	0.027499748
1700036O09Rik	0	0.005633294	0	0	0	0.015697727	0.008179052
1700037C06Rik	0	0.075060885	0	0	0.001243304	0.060477917	0.028521075
1700037C18Rik	0.095984005	0.315662133	0.154709225	0	0.095808839	0.368665465	0.129328262
